CALLER_CLASS$*$CALLER_METHOD$*$CALLEE_FIELD$*$CALLEE_CLASS
com.badlogic.gdx.utils.Array.ArrayIterator$*$next()$*$items$*$com.badlogic.gdx.utils.Array
com.badlogic.gdx.math.Interpolation.Bounce$*$out(float)$*$widths$*$com.badlogic.gdx.math.Interpolation.BounceOut
com.badlogic.gdx.math.Interpolation.Bounce$*$out(float)$*$widths$*$com.badlogic.gdx.math.Interpolation.BounceOut
com.badlogic.gdx.math.Interpolation.Bounce$*$out(float)$*$widths$*$com.badlogic.gdx.math.Interpolation.BounceOut
com.badlogic.gdx.math.Vector2$*$mul(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Vector2$*$mul(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Vector2$*$mul(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Vector2$*$mul(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Vector2$*$mul(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Vector2$*$mul(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix3$*$set(com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Matrix4$*$set(com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix4)$*$val$*$com.badlogic.gdx.math.Matrix4
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Quaternion$*$setFromMatrix(boolean,com.badlogic.gdx.math.Matrix3)$*$val$*$com.badlogic.gdx.math.Matrix3
com.badlogic.gdx.math.Plane$*$testPoint(com.badlogic.gdx.math.Vector3)$*$OnPlane$*$com.badlogic.gdx.math.Plane.PlaneSide
com.badlogic.gdx.math.Plane$*$testPoint(com.badlogic.gdx.math.Vector3)$*$Back$*$com.badlogic.gdx.math.Plane.PlaneSide
com.badlogic.gdx.math.Plane$*$testPoint(com.badlogic.gdx.math.Vector3)$*$Front$*$com.badlogic.gdx.math.Plane.PlaneSide
com.badlogic.gdx.math.Plane$*$testPoint(float,float,float)$*$OnPlane$*$com.badlogic.gdx.math.Plane.PlaneSide
com.badlogic.gdx.math.Plane$*$testPoint(float,float,float)$*$Back$*$com.badlogic.gdx.math.Plane.PlaneSide
com.badlogic.gdx.math.Plane$*$testPoint(float,float,float)$*$Front$*$com.badlogic.gdx.math.Plane.PlaneSide
com.badlogic.gdx.math.Intersector$*$intersectPolygons(com.badlogic.gdx.utils.FloatArray,com.badlogic.gdx.utils.FloatArray)$*$items$*$com.badlogic.gdx.utils.FloatArray
com.badlogic.gdx.math.Intersector$*$intersectPolygons(com.badlogic.gdx.utils.FloatArray,com.badlogic.gdx.utils.FloatArray)$*$items$*$com.badlogic.gdx.utils.FloatArray
com.badlogic.gdx.math.Intersector$*$intersectPolygons(com.badlogic.gdx.utils.FloatArray,com.badlogic.gdx.utils.FloatArray)$*$items$*$com.badlogic.gdx.utils.FloatArray
com.badlogic.gdx.math.Intersector$*$intersectPolygons(com.badlogic.gdx.utils.FloatArray,com.badlogic.gdx.utils.FloatArray)$*$items$*$com.badlogic.gdx.utils.FloatArray
com.badlogic.gdx.math.Intersector$*$intersectPolygons(com.badlogic.gdx.utils.FloatArray,com.badlogic.gdx.utils.FloatArray)$*$items$*$com.badlogic.gdx.utils.FloatArray
com.badlogic.gdx.math.Intersector$*$intersectPolygons(com.badlogic.gdx.utils.FloatArray,com.badlogic.gdx.utils.FloatArray)$*$items$*$com.badlogic.gdx.utils.FloatArray
com.badlogic.gdx.math.Intersector$*$intersectSegmentCircle(com.badlogic.gdx.math.Vector2,com.badlogic.gdx.math.Vector2,com.badlogic.gdx.math.Circle,com.badlogic.gdx.math.Intersector.MinimumTranslationVector)$*$Zero$*$com.badlogic.gdx.math.Vector2
com.badlogic.gdx.math.Intersector$*$intersectSegmentCircle(com.badlogic.gdx.math.Vector2,com.badlogic.gdx.math.Vector2,com.badlogic.gdx.math.Circle,com.badlogic.gdx.math.Intersector.MinimumTranslationVector)$*$normal$*$com.badlogic.gdx.math.Intersector.MinimumTranslationVector
com.badlogic.gdx.math.Intersector$*$intersectSegmentCircle(com.badlogic.gdx.math.Vector2,com.badlogic.gdx.math.Vector2,com.badlogic.gdx.math.Circle,com.badlogic.gdx.math.Intersector.MinimumTranslationVector)$*$normal$*$com.badlogic.gdx.math.Intersector.MinimumTranslationVector
com.badlogic.gdx.math.Intersector$*$intersectRayPlane(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$direction$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayPlane(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayPlane(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayPlane(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$direction$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayPlane(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayPlane(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectPlanes(com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$normal$*$com.badlogic.gdx.math.Plane
com.badlogic.gdx.math.Intersector$*$intersectPlanes(com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$normal$*$com.badlogic.gdx.math.Plane
com.badlogic.gdx.math.Intersector$*$intersectPlanes(com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$normal$*$com.badlogic.gdx.math.Plane
com.badlogic.gdx.math.Intersector$*$intersectPlanes(com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$normal$*$com.badlogic.gdx.math.Plane
com.badlogic.gdx.math.Intersector$*$intersectPlanes(com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$normal$*$com.badlogic.gdx.math.Plane
com.badlogic.gdx.math.Intersector$*$intersectPlanes(com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$normal$*$com.badlogic.gdx.math.Plane
com.badlogic.gdx.math.Intersector$*$intersectPlanes(com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Plane,com.badlogic.gdx.math.Vector3)$*$normal$*$com.badlogic.gdx.math.Plane
com.badlogic.gdx.math.Intersector$*$intersectRayTriangle(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3)$*$direction$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayTriangle(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayTriangle(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayTriangle(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
com.badlogic.gdx.math.Intersector$*$intersectRayTriangle(com.badlogic.gdx.math.collision.Ray,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3,com.badlogic.gdx.math.Vector3)$*$origin$*$com.badlogic.gdx.math.collision.Ray
